Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
2,2,0,5,-1.0,5,0.61,1.1,2,41.0,0.14,15,24.0
2,2,0,5,0.0,5,0.61,1.0,0,37.4,0.14,15,24.4
2,2,0,5,-0.5,5,0.61,1.1,2,50.0,0.14,15,24.2
3,2,2,12,-2.0,2,0.75,1.0,2,64.0,0.1,6,25.2
3,2,2,12,-1.0,2,0.64,1.0,0,64.0,0.1,6,25.2
3,2,2,12,-2.0,2,0.64,1.0,0,64.0,0.1,6,25.2
3,2,2,12,-2.0,2,0.75,1.0,0,64.0,0.1,6,25.2
3,2,2,12,0.0,2,0.72,1.0,2,64.0,0.1,6,25.2
3,2,2,12,-1.0,2,0.72,1.0,0,64.0,0.1,6,25.2
3,2,2,12,0.0,2,0.64,1.0,0,64.0,0.1,6,25.2
3,2,2,12,2.0,2,0.97,1.0,1,63.0,0.02,6,26.9
3,2,2,12,-1.0,2,0.66,1.0,1,63.0,0.02,6,26.9
3,2,2,12,2.0,2,0.72,1.0,1,63.0,0.02,6,26.9
3,2,2,12,0.0,2,0.64,1.0,0,63.0,0.02,6,26.9
3,2,2,12,1.0,2,0.72,1.0,1,63.0,0.02,6,26.9
3,2,2,12,0.0,2,0.72,1.0,0,63.0,0.02,6,26.9
3,2,2,12,0.0,2,0.72,1.0,1,63.0,0.02,6,26.9
3,2,2,12,-2.0,2,0.7,1.0,2,59.0,0.21,6,26.9
3,2,2,12,-2.0,2,0.7,1.0,1,59.0,0.21,6,26.9
3,2,2,12,0.0,2,0.72,1.0,1,59.0,0.21,6,26.9
3,2,2,12,-1.0,2,0.72,1.0,2,59.0,0.21,6,26.9
3,2,2,12,2.0,2,0.72,1.2,1,59.0,0.21,6,26.9
3,2,2,12,1.0,2,0.72,1.2,1,59.0,0.21,6,26.4
3,2,2,12,-1.0,2,0.72,1.2,2,59.0,0.21,6,26.9
3,2,2,12,0.0,2,0.72,1.2,1,59.0,0.21,6,26.9
3,2,2,12,0.0,2,0.72,1.2,2,59.0,0.21,6,26.9
3,2,2,12,2.0,2,0.7,1.2,1,59.0,0.21,6,26.9
3,2,2,12,1.0,2,0.72,1.0,1,59.0,0.21,6,26.9
3,2,2,12,0.0,2,0.7,1.0,1,59.0,0.21,6,26.9
3,2,2,12,0.0,2,0.72,1.0,0,60.0,0.37,6,25.8
3,2,2,12,0.0,2,0.7,1.0,2,60.0,0.37,6,25.8
3,2,2,12,-1.0,2,0.62,1.0,0,60.0,0.37,6,25.8
3,2,2,12,2.0,2,0.72,1.0,1,60.0,0.37,6,25.8
3,2,2,12,0.0,2,0.72,1.0,1,60.0,0.22,6,26.4
3,2,2,12,-1.0,2,0.72,1.0,2,60.0,0.22,6,26.4
3,2,2,12,1.0,2,0.72,1.0,1,60.0,0.22,6,26.4
3,2,2,12,0.0,2,0.72,1.0,1,60.0,0.22,6,26.4
3,2,2,12,-1.0,2,0.7,1.0,2,60.0,0.22,6,26.4
3,2,2,12,1.0,2,0.72,1.0,1,60.0,0.22,6,26.4
3,2,2,12,0.0,2,0.72,1.0,1,60.0,0.22,6,26.4
3,2,2,12,0.0,2,0.72,1.0,1,58.0,0.14,6,24.7
3,2,2,12,-1.0,2,0.72,1.0,2,58.0,0.14,6,24.7
3,2,2,12,0.0,2,0.72,1.0,1,58.0,0.14,6,24.7
3,2,2,12,-1.0,2,0.72,1.0,2,58.0,0.14,6,24.7
3,2,2,12,0.0,2,0.66,1.0,0,48.0,0.01,6,26.8
3,2,2,12,1.0,2,0.64,1.0,1,48.0,0.01,6,26.8
3,2,2,12,-1.0,2,0.64,1.0,2,48.0,0.01,6,26.8
3,2,2,12,1.0,2,0.64,1.0,0,48.0,0.01,6,26.8
3,2,2,12,-2.0,2,0.9,1.0,0,48.0,0.01,6,26.8
3,2,2,12,-1.0,2,0.84,1.0,2,48.0,0.01,6,26.8
3,2,2,12,-1.0,2,0.84,1.0,2,48.0,0.01,6,26.8
3,2,2,12,-2.0,2,0.64,1.0,2,48.0,0.01,6,26.8
3,2,2,12,-2.0,2,0.84,1.0,2,49.0,0.25,6,26.3
3,2,2,12,3.0,2,0.97,1.0,1,49.0,0.25,6,26.3
3,2,2,12,-1.0,2,0.75,1.0,2,49.0,0.25,6,26.3
3,2,2,12,2.0,2,0.75,1.0,1,49.0,0.25,6,26.3
3,2,2,12,3.0,2,0.68,1.2,1,49.0,0.25,6,26.3
3,2,2,12,0.0,2,0.84,1.0,1,49.0,0.25,6,26.3
3,2,2,12,-1.0,2,0.9,1.0,2,49.0,0.25,6,26.3
3,2,2,12,-1.0,2,0.75,1.0,2,43.0,0.02,6,25.2
3,2,2,12,1.0,2,0.75,1.0,1,43.0,0.02,6,25.2
3,2,2,12,-2.0,2,0.75,1.0,2,43.0,0.02,6,25.2
3,2,2,12,-1.0,2,0.9,1.0,0,43.0,0.02,6,25.2
3,2,2,12,-2.0,2,0.75,1.0,2,43.0,0.02,6,25.2
3,2,2,12,-2.0,2,0.75,1.0,2,43.0,0.02,6,25.2
3,2,2,12,-1.0,2,0.7,1.0,0,43.0,0.02,6,25.2
3,2,2,12,0.0,2,0.64,1.0,0,43.0,0.02,6,25.2
3,2,2,12,0.0,2,0.72,1.0,0,43.0,0.02,6,25.2
3,2,2,12,1.0,2,0.72,1.0,1,60.0,0.51,6,30.2
3,2,2,12,3.0,2,0.72,1.0,1,60.0,0.51,6,30.2
3,2,2,12,2.0,2,0.7,1.0,1,60.0,0.51,6,30.2
3,2,2,12,2.0,2,0.72,1.0,1,60.0,0.51,6,30.2
3,2,2,12,-1.0,2,0.72,1.0,0,60.0,0.51,6,30.2
3,2,2,12,0.0,2,0.72,1.0,1,60.0,0.51,6,30.2
3,2,2,12,1.0,2,0.97,1.0,1,60.0,0.51,6,30.2
3,2,2,12,0.0,2,0.7,1.0,1,60.0,0.51,6,30.2
3,2,2,12,2.0,2,0.7,1.0,1,60.0,0.51,6,30.2
3,2,2,12,-2.0,2,0.64,1.0,2,67.0,0.17,6,26.7
3,2,2,12,-1.0,2,0.97,1.0,0,67.0,0.17,6,26.7
3,2,2,12,-1.0,2,0.64,1.0,2,67.0,0.17,6,26.7
3,2,2,12,1.0,2,0.68,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.68,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.82,1.0,2,51.0,0.11,6,26.3
3,2,2,12,-2.0,2,0.82,1.0,2,51.0,0.11,6,26.3
3,2,2,12,-2.0,2,0.68,1.0,2,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.73,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.62,1.0,2,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,0.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-2.0,2,0.62,1.0,2,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.68,1.0,2,51.0,0.11,6,26.3
3,2,2,12,0.0,2,0.68,1.0,1,51.0,0.11,6,26.3
3,2,2,12,1.0,2,0.62,1.0,1,51.0,0.11,6,26.3
3,2,2,12,1.0,2,0.62,1.0,1,51.0,0.11,6,26.3
